Z, p
00, 955.6
05, 900.7
10, 830.9
15, 766.9
20, 698.4
25, 617.8
30, 550.6
35, 472.5
40, 406.7
45, 341.5
50, 275.0
55, 204.1
60, 139.2
65, 072.8
69, 006.9
